City,State,Number_of_Incidents,Requires_De_Escalation,Has_Use_of_Force_Continuum,Bans_Chokeholds_and_Strangleholds,Requires_Warning_Before_Shooting,Restricts_Shooting_at_Moving_Vehicles,Requires_Exhaust_All_Other_Means_Before_Shooting,Duty_to_Intervene,Requires_Comprehensive_Reporting,City Population
Mount Pleasant,SC,1,1,1,1,1,0,0,1,0,89410.0
Mountain View,CA,2,0,0,1,1,0,0,1,0,80104.0
Murrieta,CA,2,0,0,1,1,0,0,1,1,114066.0
Napa,CA,9,0,0,1,1,0,0,1,0,78294.0
Nashville,TN,43,1,1,1,1,0,1,1,0,667070.0
New Brighton,MN,4,0,0,1,0,0,0,1,0,22663.0
New Haven,CT,11,1,1,0,1,0,0,1,1,130381.0
New Orleans,LA,73,1,1,1,0,1,0,1,1,391249.0
New Port Richey,FL,5,0,1,1,0,0,0,0,0,16542.0
New York,NY,76,1,1,1,0,1,0,1,0,8379552.0
Newark,CA,7,1,0,1,1,0,0,1,0,48148.0
Newark,NJ,75,1,1,1,1,1,1,1,1,281917.0
Newport Beach,CA,7,0,1,1,1,0,0,1,1,86694.0
Norfolk,VA,41,1,1,0,0,0,0,1,0,244300.0
Norman,OK,16,0,1,0,1,0,0,1,0,124086.0
North Las Vegas,NV,23,1,0,1,1,0,1,1,0,247248.0
Norwalk,CT,3,1,1,1,1,0,1,1,1,88755.0
Oakland,CA,107,1,1,1,0,0,1,1,1,422575.0
Oceanside,CA,21,0,0,1,0,0,0,0,0,175694.0
Ogden,UT,21,0,1,0,1,0,0,1,0,87175.0
Oklahoma,OK,156,1,1,0,1,1,1,0,0,649821.0
Old Bridge,NJ,1,1,1,1,1,1,1,1,1,27836.0
Omaha,NE,80,1,1,1,1,0,0,1,0,479529.0
Ontario,CA,33,0,0,1,1,0,0,1,0,178194.0
Orange,CA,9,0,0,1,1,0,0,1,0,139322.0
Orem,UT,7,1,1,1,1,0,0,1,0,97883.0
Orlando,FL,102,0,1,0,0,1,0,1,0,284817.0
Overland Park,KS,7,0,0,0,1,0,0,0,0,193412.0
Oxnard,CA,20,0,0,1,1,0,0,1,0,207722.0
